PokemonIndex,pokemonName,pokemonDescription,pokemonType1,pokemonType2,maxHp,attack,defence,spAttack,spDefence,speed,ExpYield,GrowthRate,CatchRate,LearnableSkills
158,리아코,,Water,,50,65,64,44,48,43,63,MediumSlow,45,1:할퀴기|1:째려보기|5:물대포|9:물기|13:겁나는얼굴|19:얼음엄니|22:바둥바둥|27:깨물어부수기|30:베어가르기|33:싫은소리|37:난동부리기|41:아쿠아테일|45:엄청난힘|50:하이드로펌프
159,엘리게이,,Water,,65,80,80,59,63,58,142,MediumSlow,45,1:할퀴기|1:째려보기|1:물대포|13:물기|15:겁나는얼굴|21:얼음엄니|24:바둥바둥|30:깨물어부수기|34:베어가르기|37:싫은소리|42:난동부리기|47:아쿠아테일|50:엄청난힘|55:하이드로펌프
160,장크로다일,,Water,,85,105,100,79,83,78,265,MediumSlow,45,1:고속이동|1:할퀴기|1:째려보기|1:물대포|13:물기|15:겁나는얼굴|21:얼음엄니|24:바둥바둥|32:깨물어부수기|37:베어가르기|44:싫은소리|51:난동부리기|59:아쿠아테일|65:엄청난힘|70:하이드로펌프
161,꼬리선,,Normal,,35,46,34,35,45,20,43,MediumFast,255,1:할퀴기|4:웅크리기|7:전광석화|13:마구할퀴기|16:도우미|19:날따름|25:힘껏치기|28:잠자기|31:기습|36:망각술|39:바톤터치|42:이판사판태클|47:하이퍼보이스
162,다꼬리,,Normal,,85,76,64,45,55,90,145,MediumFast,90,0:고속이동|1:할퀴기|1:전광석화|1:웅크리기|1:똬리틀기|13:마구할퀴기|17:도우미|21:날따름|28:힘껏치기|32:잠자기|36:기습|42:망각술|46:바톤터치|50:이판사판태클|56:하이퍼보이스
163,부우부,,Normal,Flying,60,30,30,36,56,50,52,MediumFast,255,1:울음소리|1:쪼기|3:몸통박치기|6:에코보이스|9:염동력|12:리플렉터|15:안개제거|18:에어슬래시|21:신통력|24:돌진|27:소란피기|30:날개쉬기|33:문포스|36:최면술|39:꿈먹기
164,야부엉,,Normal,Flying,100,50,50,76,96,70,158,MediumFast,90,1:몸통박치기|1:울음소리|1:쪼기|1:불새|1:에코보이스|9:염동력|12:리플렉터|15:안개제거|18:에어슬래시|23:신통력|28:돌진|33:소란피기|38:날개쉬기|43:문포스|48:최면술|53:꿈먹기
165,레디바,,Bug,Flying,40,20,30,40,80,55,53,Fast,255,1:몸통박치기|5:초음파|8:스피드스타|12:빛의장막|12:리플렉터|12:신비의부적|15:마하펀치|19:날개쉬기|22:벌레의저항|26:바톤터치|29:고속이동|33:벌레의야단법석|36:에어슬래시|40:이판사판태클
166,레디안,,Bug,Flying,55,35,50,55,110,85,137,Fast,90,1:몸통박치기|1:초음파|1:스피드스타|5:초음파|12:빛의장막|12:리플렉터|12:신비의부적|15:마하펀치|20:날개쉬기|24:벌레의저항|29:바톤터치|33:고속이동|38:벌레의야단법석|42:에어슬래시|47:이판사판태클
167,페이검,,Bug,Poison,40,60,40,40,40,30,50,Fast,255,1:독침|1:실뿜기|1:휘감기|5:흡수|8:엉겨붙기|12:겁나는얼굴|15:나이트헤드|19:야습|22:마구할퀴기|26:기습|29:고속이동|33:바늘미사일|36:사이코키네시스|40:독찌르기|44:크로스포이즌|47:끈적끈적네트|51:독실
168,아리아도스,,Bug,Poison,70,90,70,60,60,40,140,Fast,90,0:칼춤|1:독침|1:흡수|1:실뿜기|1:휘감기|1:기충전|1:벌레먹음|1:마지막일침|8:엉겨붙기|12:겁나는얼굴|15:나이트헤드|19:야습|23:마구할퀴기|28:기습|31:고속이동|35:바늘미사일|41:사이코키네시스|46:독찌르기|50:크로스포이즌|54:끈적끈적네트|59:독실
169,크로뱃,,Poison,Flying,85,90,80,70,80,130,268,MediumFast,90,0:크로스포이즌|1:초음파|1:흡수|1:맹독|1:싫은소리|1:검은눈빛|1:놀래키기|1:순풍|15:독엄니|20:퍼스트가드|27:에어컷터|34:물기|41:흑안개|48:베놈쇼크|55:이상한빛|62:에어슬래시|69:흡혈
170,초라기,,Water,Electric,75,38,38,56,56,67,66,Slow,190,1:초음파|1:물대포|4:일렉트릭볼|8:전기자석파|12:거품광선|16:이상한빛|20:스파크|24:충전|28:방전|32:아쿠아링|36:바둥바둥|40:돌진|44:하이드로펌프
171,랜턴,,Water,Electric,125,58,58,76,76,67,161,Slow,75,0:비축하기|0:토해내기|0:꿀꺽|1:초음파|1:물대포|1:스포트라이트|1:전기자석파|1:일렉트릭볼|1:괴전파|12:거품광선|16:이상한빛|20:스파크|24:충전|30:방전|36:아쿠아링|42:바둥바둥|48:돌진|54:하이드로펌프
172,피츄,,Electric,,20,40,15,35,35,60,41,MediumFast,190,1:꼬리흔들기|1:전기쇼크|4:친해지기|8:천사의키스|12:볼부비부비|16:나쁜음모|20:애교부리기
173,삐,,Fairy,,50,25,28,45,55,15,44,Fast,150,1:막치기|1:튀어오르기|1:흉내쟁이|4:노래하기|8:천사의키스|12:차밍보이스|16:앵콜|20:애교부리기
174,푸푸린,,Normal,Fairy,90,30,15,40,20,15,42,Fast,170,1:막치기|1:노래하기|1:흉내쟁이|4:웅크리기|8:천사의키스|12:차밍보이스|16:사슬묶기|20:애교부리기
175,토게피,,Fairy,,35,20,65,40,65,20,49,Fast,190,1:막치기|1:울음소리|4:천사의키스|8:생명의물방울|12:애교부리기|16:원시의힘|20:하품|24:손가락흔들기|28:당신먼저|32:이판사판태클|36:신비의부적|40:날따름|44:바톤터치|48:뒀다쓰기|52:희망사항
176,토게틱,,Fairy,Flying,55,40,85,80,105,40,142,Fast,75,0:요정의바람|1:막치기|1:울음소리|1:천사의키스|1:생명의물방울|12:애교부리기|16:원시의힘|20:하품|24:손가락흔들기|28:당신먼저|32:이판사판태클|36:신비의부적|40:날따름|44:바톤터치|48:뒀다쓰기|52:희망사항
177,네이티,,Psychic,Flying,40,50,45,70,45,70,64,MediumFast,190,1:째려보기|1:쪼기|5:어시스트파워|10:순간이동|15:이상한빛|20:나이트헤드|26:사이코시프트|30:파워스웹|35:사이코키네시스|35:가드스웹|40:희망사항|45:미래예지
178,네이티오,,Psychic,Flying,65,75,70,95,70,95,165,MediumFast,75,0:에어슬래시|1:째려보기|1:쪼기|1:순간이동|1:순풍|1:어시스트파워|15:이상한빛|20:나이트헤드|28:사이코시프트|34:파워스웹|34:가드스웹|41:사이코키네시스|48:희망사항|55:미래예지
179,메리프,,Electric,,55,40,40,65,45,35,56,MediumSlow,235,1:몸통박치기|1:울음소리|4:전기자석파|8:전기쇼크|11:목화포자|15:충전|18:돌진|22:일렉트릭볼|25:이상한빛|29:파워젬|32:방전|36:코튼가드|39:매지컬샤인|43:빛의장막|46:번개
180,보송송,,Electric,,70,55,55,80,60,45,128,MediumSlow,120,1:몸통박치기|1:울음소리|6:전기쇼크|9:전기자석파|11:목화포자|16:충전|20:돌진|25:일렉트릭볼|29:이상한빛|34:파워젬|38:방전|43:코튼가드|47:매지컬샤인|52:빛의장막|56:번개
181,전룡,,Electric,,90,75,85,115,90,55,255,MediumSlow,45,0:번개펀치|1:불꽃펀치|1:몸통박치기|1:울음소리|1:전기쇼크|1:전기자석파|1:전자포|1:용의파동|1:자기장조작|1:플라스마샤워|11:목화포자|16:충전|20:돌진|25:일렉트릭볼|29:이상한빛|35:파워젬|40:방전|46:코튼가드|51:매지컬샤인|57:빛의장막|62:번개
182,아르코,,Grass,,75,80,95,90,100,50,245,MediumSlow,45,0:꽃보라|1:용해액|1:흡수|1:메가드레인|1:성장|1:독가루|1:저리가루|1:수면가루|1:꽃잎댄스|1:맹독|1:기가드레인|1:달콤한향기|1:달의불빛|1:나비춤|1:그래스필드|1:문포스
183,마릴,,Water,Fairy,70,20,50,20,50,40,88,Fast,190,1:튀어오르기|1:몸통박치기|1:꼬리흔들기|1:물대포|1:웅크리기|1:구르기|1:도우미|6:거품광선|9:애교부리기|12:힘껏치기|15:뛰어오르다|19:아쿠아테일|21:치근거리기|24:아쿠아링|27:비바라기|30:하이드로펌프|33:이판사판태클|36:엄청난힘
184,마릴리,,Water,Fairy,100,50,80,60,80,50,210,Fast,75,1:튀어오르기|1:몸통박치기|1:꼬리흔들기|1:물대포|1:웅크리기|1:구르기|1:도우미|6:거품광선|9:애교부리기|12:힘껏치기|15:뛰어오르다|21:아쿠아테일|25:치근거리기|30:아쿠아링|35:비바라기|40:하이드로펌프|45:이판사판태클|50:엄청난힘
185,꼬지모,,Rock,,70,100,115,30,65,30,144,MediumFast,65,0:힘껏치기|1:돌떨구기|1:몸통박치기|1:바둥바둥|1:거짓울음|1:암해머|1:흉내쟁이|1:스톤에지|1:우드해머|12:블록|16:흉내내기|20:암석봉인|24:눈물그렁그렁|28:기습|32:스톤샤워|36:안다리걸기|40:카운터|44:이판사판태클|48:양날박치기
186,왕구리,,Water,,90,75,75,90,100,70,250,MediumSlow,45,0:뛰어오르다|1:누르기|1:이판사판태클|1:물대포|1:거품광선|1:최면술|1:멸망의노래|1:뽐내기|1:하이퍼보이스|1:머드숏|1:대지의힘|1:비바라기|1:하이드로펌프|1:배북|1:막치기|1:물놀이
187,통통코,,Grass,Flying,35,35,40,35,55,50,50,MediumSlow,255,1:몸통박치기|1:튀어오르기|4:꼬리흔들기|6:흡수|8:요정의바람|10:독가루|10:저리가루|10:수면가루|12:기관총|15:광합성|19:씨뿌리기|22:메가드레인|24:애크러뱃|27:목화포자|29:유턴|32:기가드레인|35:뛰어오르다|38:추억의선물
188,두코,,Grass,Flying,55,45,50,45,65,80,119,MediumSlow,120,1:꼬리흔들기|1:흡수|1:튀어오르기|1:광합성|8:몸통박치기|10:요정의바람|12:독가루|12:저리가루|12:수면가루|15:기관총|20:씨뿌리기|24:메가드레인|28:애크러뱃|31:목화포자|34:유턴|37:기가드레인|41:뛰어오르다|44:추억의선물
189,솜솜코,,Grass,Flying,75,55,70,55,95,110,230,MediumSlow,45,1:꼬리흔들기|1:흡수|1:튀어오르기|1:광합성|8:몸통박치기|10:요정의바람|12:독가루|12:저리가루|12:수면가루|15:기관총|20:씨뿌리기|24:메가드레인|30:애크러뱃|35:목화포자|39:유턴|43:기가드레인|49:뛰어오르다|55:추억의선물
190,에이팜,,Normal,,55,70,55,40,55,85,72,Fast,45,1:할퀴기|1:꼬리흔들기|4:모래뿌리기|8:놀래키기|11:바톤터치|15:간지르기|18:마구할퀴기|22:스피드스타|25:싫은소리|29:고속이동|32:더블어택|36:내던지기|39:나쁜음모|43:뒀다쓰기
191,해너츠,,Grass,,30,30,30,30,30,30,36,MediumSlow,235,1:몸통박치기|1:성장|7:흡수|10:메가드레인|16:잎날가르기|19:고민씨|22:기가드레인|25:죽기살기|28:광합성|31:솔라빔|34:이판사판태클|36:쾌청|39:씨폭탄
192,해루미,,Grass,,75,75,55,105,85,30,149,MediumSlow,120,1:씨폭탄|1:막치기|1:몸통박치기|1:성장|1:죽기살기|1:광합성|4:뿌리박기|7:흡수|10:메가드레인|13:씨뿌리기|16:잎날가르기|19:고민씨|22:기가드레인|25:기관총|28:꽃잎댄스|31:솔라빔|34:이판사판태클|39:쾌청|43:리프스톰|50:꽃보라
193,왕자리,,Bug,Flying,65,65,45,75,45,95,78,MediumFast,75,1:몸통박치기|6:전광석화|11:그림자분신|14:에어컷터|17:판별|22:초음파|27:소란피기|30:벌레먹음|33:원시의힘|38:최면술|43:날개치기|46:싫은소리|49:유턴|54:에어슬래시|57:벌레의야단법석
194,우파,,Water,Ground,55,45,45,25,25,15,42,MediumFast,255,1:꼬리흔들기|1:물대포|4:비바라기|8:머드숏|12:흰안개|12:흑안개|16:힘껏치기|21:하품|24:아쿠아테일|28:탁류|32:망각술|36:맹독|40:지진
195,누오,,Water,Ground,95,85,85,65,65,35,151,MediumFast,90,1:꼬리흔들기|1:물대포|1:비바라기|1:머드숏|12:흰안개|12:흑안개|16:힘껏치기|23:하품|28:아쿠아테일|34:탁류|40:망각술|46:맹독|52:지진
196,에브이,,Psychic,,65,65,60,130,95,110,184,MediumFast,45,0:콸콸오라|1:브이브이브레이크|1:몸통박치기|1:돌진|1:이판사판태클|1:꼬리흔들기|1:물기|1:울음소리|1:애교부리기|1:바톤터치|1:도우미|1:탐내다|1:흉내쟁이|5:모래뿌리기|10:염동력|15:전광석화|20:초롱초롱눈동자|25:스피드스타|30:환상빔|35:아침햇살|40:파워스웹|45:사이코키네시스|50:자기암시|55:미래예지|60:뒀다쓰기
197,블래키,,Dark,,95,65,110,60,130,65,184,MediumFast,45,0:아그아그존|1:브이브이브레이크|1:몸통박치기|1:돌진|1:이판사판태클|1:꼬리흔들기|1:물기|1:울음소리|1:스피드스타|1:애교부리기|1:바톤터치|1:도우미|1:탐내다|1:흉내쟁이|1:따라가때리기|5:모래뿌리기|10:바크아웃|15:전광석화|20:초롱초롱눈동자|25:이상한빛|30:승부굳히기|35:달의불빛|40:가드스웹|45:악의파동|50:싫은소리|55:검은눈빛|60:뒀다쓰기
198,니로우,,Dark,Flying,60,85,42,85,42,91,81,MediumSlow,30,1:쪼기|1:놀래키기|5:바람일으키기|11:흑안개|15:날개치기|21:나이트헤드|25:승부굳히기|31:도발|35:검은눈빛|40:속임수|50:기습|55:트집|60:순서미루기
199,야도킹,,Water,Psychic,95,75,80,100,110,30,172,MediumFast,70,1:미래예지|1:-|1:파워젬|1:나쁜음모|1:뽐내기|1:몸통박치기|1:저주|1:울음소리|1:물대포|9:하품|12:염동력|15:사슬묶기|18:물의파동|21:박치기|24:사념의박치기|27:망각술|30:파도타기|33:태만함|36:사이코키네시스|39:자기암시|42:비바라기|45:치유의파동
200,무우마,,Ghost,,60,60,60,85,85,85,87,Fast,45,1:울음소리|1:염동력|1:사이코웨이브|10:놀래키기|14:이상한빛|19:검은눈빛|23:병상첨병|28:환상빔|32:아픔나누기|37:보복|41:섀도볼|46:멸망의노래|50:파워젬
201,안농,,Psychic,,48,72,48,72,48,48,118,MediumFast,225,1:잠재파워
202,마자용,,Psychic,,190,33,58,33,58,33,142,MediumFast,45,0:카운터|0:길동무|0:신비의부적|0:미러코트|1:카운터|1:길동무|1:신비의부적|1:미러코트|1:망각술|1:튀어오르기|1:애교부리기|1:앵콜
203,키링키,,Normal,Psychic,70,80,65,90,65,85,159,MediumFast,60,1:몸통박치기|1:울음소리|1:놀래키기|1:파워스웹|1:가드스웹|5:염동력|10:승부굳히기|14:짓밟기|19:환상빔|23:고속이동|28:더블어택|32:-|37:깨물어부수기|41:바톤터치|46:나쁜음모|50:사이코키네시스
204,피콘,,Bug,,50,65,90,35,35,15,58,MediumFast,190,1:몸통박치기|1:방어|6:자폭|9:벌레먹음|12:돌진|17:고속스핀|20:구르기|23:저주|28:압정뿌리기|31:보복|34:대폭발|39:철벽|42:자이로볼|45:이판사판태클
205,쏘콘,,Bug,Steel,75,90,140,60,60,40,163,MediumFast,75,0:헤비봄버|1:몸통박치기|1:자폭|1:방어|1:전자포|1:독압정|1:전자부유|1:벌레먹음|1:미러숏|12:돌진|17:고속스핀|20:구르기|23:저주|28:압정뿌리기|32:보복|36:대폭발|42:철벽|46:자이로볼|50:이판사판태클
206,노고치,,Normal,,100,70,70,65,65,45,145,MediumFast,190,1:웅크리기|1:바둥바둥|1:몸통박치기|4:진흙뿌리기|8:구르기|12:뱀눈초리|16:싫은소리|20:원시의힘|24:드릴라이너|28:하품|32:-|36:날개쉬기|40:드래곤다이브|44:똬리틀기|48:이판사판태클|52:죽기살기
207,글라이거,,Ground,Flying,65,75,105,35,65,85,86,MediumSlow,60,1:독침|4:모래뿌리기|7:단단해지기|10:탁쳐서떨구기|13:전광석화|16:연속자르기|19:포이즌테일|22:애크러뱃|27:베어가르기|30:유턴|35:싫은소리|40:시저크로스|45:찝게햄머|50:칼춤
208,강철톤,,Steel,Ground,75,85,200,55,65,30,179,MediumFast,25,1:조이기|1:몸통박치기|1:돌떨구기|1:단단해지기|1:흙놀이|1:깨물어부수기|1:록커트|1:번개엄니|1:얼음엄니|1:불꽃엄니|4:떨어뜨리기|8:바디퍼지|12:용의숨결|16:저주|20:스톤샤워|22:자이로볼|24:싫은소리|28:모래지옥|32:스텔스록|36:힘껏치기|40:모래바람|44:구멍파기|48:아이언테일|52:스톤에지|56:이판사판태클|60:전자부유
209,블루,,Fairy,,60,80,50,40,40,30,60,Fast,190,1:몸통박치기|1:꼬리흔들기|1:겁나는얼굴|1:애교부리기|1:번개엄니|1:얼음엄니|1:불꽃엄니|7:물기|13:핥기|19:박치기|25:울부짖기|31:뒀다쓰기|37:치근거리기|43:보복|49:깨물어부수기
210,그랑블루,,Fairy,,90,120,75,60,60,45,158,Fast,75,1:몸통박치기|1:꼬리흔들기|1:겁나는얼굴|1:역린|1:애교부리기|1:번개엄니|1:얼음엄니|1:불꽃엄니|7:물기|13:핥기|19:박치기|27:울부짖기|35:뒀다쓰기|43:치근거리기|51:보복|59:깨물어부수기
211,침바루,,Water,Poison,65,95,75,55,55,85,88,MediumFast,45,1:몸통박치기|1:독침|4:단단해지기|8:물대포|12:마지막일침|16:작아지기|20:압정뿌리기|24:소금물|28:독찌르기|32:바늘미사일|36:독압정|40:비축하기|40:토해내기|44:맹독|48:아쿠아테일|52:경혈찌르기|56:길동무
212,핫삼,,Bug,Steel,70,130,100,55,80,65,175,MediumFast,25,0:불릿펀치|1:날개치기|1:째려보기|1:고속이동|1:전광석화|1:칼등치기|1:연속자르기|1:에어슬래시|12:메탈크로우|16:그림자분신|20:더블어택|24:베어가르기|28:기충전|30:강철날개|32:철벽|36:아이언헤드|40:시저크로스|44:칼춤
213,단단지,,Bug,Rock,20,10,230,10,230,5,177,MediumSlow,190,1:김밥말이|1:껍질에숨기|1:참기|1:휘감기|5:구르기|10:벌레의저항|15:돌떨구기|20:신비의부적|25:잠자기|30:벌레먹음|35:가드셰어|35:파워셰어|40:스톤샤워|45:위액|50:끈적끈적네트|55:파워트릭|60:스톤에지|65:껍질깨기
214,헤라크로스,,Bug,Fighting,80,125,75,40,95,85,175,Slow,45,1:몸통박치기|1:째려보기|1:손바닥치기|5:마구찌르기|10:버티기|15:제비반환|20:뿔찌르기|25:카운터|30:깨트리다|35:바늘미사일|40:지옥찌르기|45:난동부리기|50:칼춤|55:메가폰|60:인파이트
215,포푸니,,Dark,Ice,55,95,55,35,75,115,86,MediumSlow,60,1:할퀴기|1:째려보기|6:도발|12:전광석화|18:메탈크로우|24:얼다바람|30:마구할퀴기|36:손톱갈기|42:집단구타|48:고속이동|54:싫은소리|60:베어가르기
216,깜지곰,,Normal,,60,80,50,50,50,40,66,MediumFast,120,1:할퀴기|1:핥기|1:탐내다|1:내던지기|1:초롱초롱눈동자|8:마구할퀴기|13:보복|17:달콤한향기|22:베어가르기|25:친해지기|29:치근거리기|33:애교부리기|37:잠자기|37:코골기|41:난동부리기
217,링곰,,Normal,,90,130,75,75,75,55,175,MediumFast,60,1:할퀴기|1:째려보기|1:핥기|1:탐내다|1:내던지기|1:초롱초롱눈동자|1:거짓울음|1:애교부리기|8:마구할퀴기|13:보복|17:달콤한향기|22:베어가르기|25:친해지기|29:치근거리기|35:겁나는얼굴|41:잠자기|41:코골기|48:10만마력|56:난동부리기|64:암해머
218,마그마그,,Fire,,40,40,40,70,40,20,50,MediumFast,190,1:스모그|1:하품|5:불꽃세례|8:돌떨구기|13:단단해지기|20:클리어스모그|22:원시의힘|27:불태우기|29:스톤샤워|34:분연|36:망각술|41:누르기|43:HP회복|48:화염방사|50:대지의힘
219,마그카르고,,Fire,Rock,50,50,120,80,80,30,151,MediumFast,75,0:껍질깨기|1:불꽃세례|1:돌떨구기|1:스모그|1:하품|1:대지의힘|13:단단해지기|20:클리어스모그|22:원시의힘|27:불태우기|29:스톤샤워|34:분연|36:망각술|43:누르기|47:HP회복|54:화염방사
220,꾸꾸리,,Ice,Ground,50,50,40,30,30,50,50,Slow,225,1:몸통박치기|1:진흙뿌리기|1:냄새구별|5:눈싸라기|10:바둥바둥|15:얼음뭉치|20:흰안개|25:버티기|30:얼다바람|35:망각술|40:돌진|45:지진|50:눈보라
221,메꾸리,,Ice,Ground,100,100,80,60,60,50,158,Slow,75,0:얼음엄니|1:몸통박치기|1:바둥바둥|1:눈싸라기|1:진흙뿌리기|1:냄새구별|1:원시의힘|15:얼음뭉치|20:흰안개|25:버티기|30:얼다바람|37:망각술|44:돌진|51:지진|58:눈보라|65:난동부리기
222,코산호,,Water,Rock,55,55,85,65,85,35,144,Fast,60,1:몸통박치기|1:단단해지기|5:물대포|10:아쿠아링|15:버티기|20:원시의힘|25:거품광선|30:바둥바둥|35:생명의물방울|40:파워젬|45:대지의힘|50:HP회복|55:미러코트
223,총어,,Water,,35,65,35,65,35,65,60,MediumFast,190,1:물대포|1:도우미|4:물의파동|8:기충전|12:환상빔|16:오로라빔|20:거품광선|24:록온|28:기관총|32:냉동빔|36:하이드로펌프|40:물붓기|44:파괴광선
224,대포무노,,Water,,75,105,75,105,75,45,168,MediumFast,75,0:대포무노포|1:김밥말이|1:휘감기|1:물대포|1:기충전|1:도우미|1:락블레스트|1:물의파동|1:더스트슈트|12:환상빔|16:오로라빔|20:거품광선|24:록온|30:기관총|36:냉동빔|42:하이드로펌프|48:물붓기|54:파괴광선
225,딜리버드,,Ice,Flying,45,55,45,65,45,75,116,Fast,45,1:프레젠트|1:손가락흔들기|5:속이다|5:눈싸라기|6:흰안개|10:얼음뭉치|15:제비반환|20:얼다바람|25:회전부리|30:냉동펀치|35:흑안개|40:에어슬래시|45:순풍|50:-|55:눈보라|60:브레이브버드
226,만타인,,Water,Flying,65,40,70,80,140,70,170,Slow,25,1:날개치기|1:몸통박치기|1:초음파|1:물대포|1:환상빔|1:시그널빔|1:기관총|1:날개쉬기|12:물의파동|16:와이드가드|20:고속이동|24:거품광선|28:박치기|32:에어슬래시|36:아쿠아링|40:뛰어오르다|44:돌진|48:하이드로펌프
227,무장조,,Steel,Flying,65,80,140,40,70,70,163,Slow,25,1:째려보기|1:쪼기|4:모래뿌리기|8:마구찌르기|12:메탈크로우|16:고속이동|20:날개치기|24:베어가르기|28:강철날개|32:보복|36:회전부리|40:금속음|44:압정뿌리기|48:철벽|52:브레이브버드
228,델빌,,Dark,Fire,45,60,30,80,50,65,66,Slow,120,1:째려보기|1:불꽃세례|4:멀리짖음|8:스모그|13:울부짖기|16:물기|20:불태우기|25:집단구타|28:불꽃엄니|32:트집|37:-|40:속임수|44:화염방사|49:깨물어부수기|52:나쁜음모|56:연옥
229,헬가,,Dark,Fire,75,90,50,110,80,95,175,Slow,45,1:째려보기|1:불꽃세례|1:스모그|1:멀리짖음|1:나쁜음모|1:번개엄니|13:울부짖기|16:물기|20:불태우기|26:집단구타|30:불꽃엄니|35:트집|41:-|45:속임수|50:화염방사|56:깨물어부수기|62:연옥
230,킹드라,,Water,Dragon,75,95,95,95,95,85,270,MediumFast,45,1:예민해지기|1:째려보기|1:물대포|1:연막|1:회오리|1:바다회오리|1:하품|15:기충전|20:용의숨결|25:거품광선|30:고속이동|37:물의파동|44:용의파동|51:하이드로펌프|58:용의춤|65:비바라기|72:웨이브태클
231,코코리,,Ground,,90,60,60,40,40,40,66,MediumFast,120,1:몸통박치기|1:울음소리|1:웅크리기|1:냄새구별|6:바둥바둥|10:구르기|15:땅고르기|19:버티기|24:힘껏치기|28:돌진|33:애교부리기|37:뒀다쓰기|42:이판사판태클
232,코리갑,,Ground,,90,120,120,60,60,50,175,MediumFast,60,0:마구찌르기|1:몸통박치기|1:울음소리|1:뿔찌르기|1:웅크리기|1:냄새구별|1:바둥바둥|1:버티기|1:돌진|1:애교부리기|1:뒀다쓰기|1:이판사판태클|1:번개엄니|1:불꽃엄니|1:땅고르기|6:고속스핀|10:구르기|15:승부굳히기|19:탁쳐서떨구기|24:힘껏치기|30:분함의발구르기|37:겁나는얼굴|43:지진|50:기가임팩트
233,폴리곤2,,Normal,,85,80,90,105,95,60,180,MediumFast,45,1:몸통박치기|1:웅크리기|1:텍스처|1:리사이클|1:전자부유|1:매직코트|15:전기쇼크|20:환상빔|25:텍스처2|30:고속이동|35:HP회복|40:방전|45:트라이어택|50:록온|55:전자포|60:파괴광선
234,노라키,,Normal,,73,95,62,85,65,85,163,Slow,45,1:몸통박치기|1:선취|3:째려보기|7:놀래키기|10:최면술|13:짓밟기|16:모래뿌리기|21:돌진|23:이상한빛|25:배리어러시|27:명상|32:역할|37:사념의박치기|49:봉인|55:이판사판태클
235,루브도,,Normal,,55,20,35,20,45,75,88,Fast,45,1:스케치|11:스케치|21:스케치|31:스케치|41:스케치|51:스케치|61:스케치|71:스케치|81:스케치|91:스케치
236,배루키,,Fighting,,35,35,35,35,35,35,42,MediumFast,75,1:몸통박치기|1:기충전|1:속이다|1:도우미|10:로킥|10:마하펀치|10:고속스핀
237,카포에라,,Fighting,,50,95,95,35,110,70,159,MediumFast,45,0:트리플킥|1:몸통박치기|1:기충전|1:고속스핀|1:속이다|1:도우미|1:페인트|1:따라가때리기|1:돌려차기|1:로킥|1:마하펀치|4:전광석화|8:자이로볼|12:판별|16:리벤지|21:와이드가드|21:퍼스트가드|24:기습|28:고속이동|32:구멍파기|36:인파이트|40:카운터|44:죽기살기
238,뽀뽀라,,Ice,Psychic,45,30,15,85,65,65,61,MediumFast,45,1:막치기|1:핥기|4:눈싸라기|8:흉내쟁이|12:염동력|16:탐내다|20:노래하기|24:거짓울음|28:냉동펀치|32:사이코키네시스|36:천사의키스|40:검은눈빛|44:멸망의노래|48:눈보라
239,에레키드,,Electric,,45,63,37,65,55,95,72,MediumFast,45,1:째려보기|1:전광석화|4:전기쇼크|8:충전|12:스피드스타|16:전격파|20:전기자석파|24:싫은소리|28:번개펀치|32:방전|36:안다리걸기|40:10만볼트|44:빛의장막|48:번개
240,마그비,,Fire,,45,75,37,70,55,83,73,MediumFast,45,1:째려보기|1:스모그|4:불꽃세례|8:연막|12:클리어스모그|16:화염자동차|20:이상한빛|24:겁나는얼굴|28:불꽃펀치|32:분연|36:안다리걸기|40:화염방사|44:쾌청|48:불대문자
241,밀탱크,,Normal,,95,80,105,40,70,100,172,Slow,45,1:몸통박치기|1:울음소리|5:구르기|10:웅크리기|15:짓밟기|20:치료방울|25:박치기|30:사념의박치기|35:우유마시기|40:누르기|45:치근거리기|50:애교부리기|55:10만마력
242,해피너스,,Normal,,255,10,10,75,135,55,608,Fast,30,1:막치기|1:웅크리기|1:천사의키스|1:애교부리기|1:탐내다|1:흉내쟁이|1:차밍보이스|4:꼬리흔들기|8:에코보이스|12:생명의물방울|16:노래하기|20:내던지기|24:돌진|28:치유의파동|32:도우미|36:빛의장막|40:이판사판태클|44:알낳기|48:뒀다쓰기|52:치유소원
243,라이코,,Electric,,90,85,75,115,100,115,290,Slow,3,1:째려보기|1:전기쇼크|1:전광석화|1:신속|1:충전|6:스파크|12:물기|18:명상|24:울부짖기|30:번개엄니|36:멀리짖음|42:깨물어부수기|48:신통력|54:방전|60:리플렉터|66:비바라기|72:번개|78:전자포
244,앤테이,,Fire,,115,115,85,90,75,100,290,Slow,3,1:성스러운불꽃|1:신속|1:짓밟기|1:째려보기|1:불꽃세례|1:연막|6:화염자동차|12:물기|18:명상|24:울부짖기|30:불꽃엄니|36:겁나는얼굴|42:깨물어부수기|48:신통력|54:분연|60:뽐내기|66:쾌청|72:불대문자|78:분화
245,스이쿤,,Water,,100,75,115,90,115,85,290,Slow,3,1:신속|1:절대영도|1:바람일으키기|1:째려보기|1:흰안개|1:물대포|6:물의파동|12:물기|18:명상|24:울부짖기|30:얼음엄니|36:순풍|42:깨물어부수기|48:신통력|54:파도타기|60:미러코트|66:비바라기|72:하이드로펌프|78:눈보라
